name,mean,sd,n_plants
Corolla length (mm),24.889425968768073,2.950344636172406,494
Corolla width (mm),3.2853181580324438,0.44970393728381214,455
Flower number,36.518852459016394,25.427450622680492,610
Nonaborted fruits,18.48087431693989,17.37949618827619,610
Inflorescence height (cm),35.21690839140534,10.429085406168369,656
Nectar production (ÂµL/day),1.8081702715084877,1.1189848289777504,432
Nectar conc. (% by mass),27.304966749792186,5.9139237561314655,401
Nectar sucrose (mg/day),0.5868335663640084,0.3076427428378843,401
Open flowers,20.16182572614108,18.547911545532248,723
Prop. fruits aborted,0.4534421838539132,0.28534540387601554,606
Prop. fruits eaten,0.24135043771823914,0.23469265588337276,581
Total seeds,120.06765704579945,109.75580741707226,505
Seeds initiated per flower,4.125168656337055,3.0253548287653445,505
Seeds per fruit,6.577419237891655,3.457054496356336,505
Sepal width (mm),1.4902132352941175,0.2358992864016377,340
Style length (mm),24.521046455241976,2.9257264633266,491
